EmployeeID,Name,Position,HireDate,Salary,Department,EmploymentStatus,PhoneNumber,Email,Supervisor,Notes
E1033,Cassandra Young,HR Specialist,2016-09-13,38078.76,IT,Terminated,885-638-3710x05911,fredperry@gmail.com,Alex Turner,Under review
E1034,Jimmy Burns,IT Manager,2022-07-16,99102.7,HR,On Leave,001-346-003-1347x89136,goodamanda@hotmail.com,Michael Johnson,Under review
E1035,Mary Morrison,Sales Associate,2017-10-07,65736.39,IT,Active,238.310.3707x4569,cmcgrath@ryan.com,John Doe,Recently promoted
E1036,Debra Anderson,IT Manager,2020-04-26,43399.47,HR,Terminated,639.708.5767,jonathan10@roberts.com,Michael Johnson,Under review
E1037,Micheal Prince,IT Manager,2022-10-18,115625.27,Finance,On Leave,+1-073-729-5865,charlessolomon@aguilar.com,John Doe,Under review
E1038,Paul Mendez,Operations Manager,2016-06-05,46177.81,Finance,On Leave,318-762-6635,icook@yahoo.com,Michael Johnson,Under review
E1039,John Garcia,Sales Associate,2020-05-03,49039.74,Finance,Active,5586017129,desiree62@jones.biz,Jane Smith,Recently promoted
E1040,Heather James,Accountant,2022-04-13,47542.78,Sales,Terminated,001-662-939-7715x440,williamhill@barrett-jimenez.com,Emily Clark,Under review
E1041,Dr. Kelly Young DDS,Accountant,2018-06-14,48955.69,IT,On Leave,339-194-4814,frussell@peterson.com,Alex Turner,Under review
E1042,Jack Beasley,IT Manager,2017-01-07,88562.38,IT,Active,472.533.5571x200,tbenton@bean.com,John Doe,Recently promoted
E1043,Amanda Brown,HR Specialist,2020-06-20,64019.23,HR,Terminated,5319072780,jessica60@gmail.com,Alex Turner,Under review
E1044,Krystal Howell,IT Manager,2020-01-22,87959.03,Finance,On Leave,710.531.6620,zfreeman@hotmail.com,Emily Clark,Under review
E1045,Ashley Serrano,IT Manager,2018-05-20,80428.45,Finance,On Leave,(215)091-0740,dunnsamuel@yahoo.com,John Doe,Under review
E1046,Crystal Riley,HR Specialist,2015-06-14,55492.59,IT,On Leave,(451)668-4018,dholt@yahoo.com,John Doe,Under review
E1047,Carol Farrell,HR Specialist,2018-03-25,84295.52,Operations,Terminated,745.495.4311x964,xmiles@yahoo.com,Michael Johnson,Under review
E1048,Abigail Graves,Sales Associate,2018-10-30,84719.56,HR,On Leave,001-628-065-0972x27167,nfrederick@brown-rollins.net,Jane Smith,Under review
E1049,Sara West,Operations Manager,2018-09-29,55307.9,HR,Active,193.816.7665,ksilva@armstrong-duncan.com,John Doe,Recently promoted
