PayrollID,EmployeeID,Date,GrossPay,Deductions,NetPay,ReferenceID,Description
PR1063,E1021,2024-03-07,118653.93,20736.41,97917.52,REF-5867,Payroll report for Louis Valenzuela for date 2024-03-07.
PR1064,E1021,2024-06-26,118653.93,15979.17,102674.76,REF-2107,Payroll report for Louis Valenzuela for date 2024-06-26.
PR1065,E1021,2024-10-15,118653.93,16345.51,102308.42,REF-7612,Payroll report for Louis Valenzuela for date 2024-10-15.
PR1066,E1022,2024-03-18,43912.44,6031.2,37881.24,REF-0770,Payroll report for Melissa Payne for date 2024-03-18.
PR1067,E1022,2024-08-30,43912.44,4740.1,39172.34,REF-2148,Payroll report for Melissa Payne for date 2024-08-30.
PR1068,E1022,2024-10-12,43912.44,6026.92,37885.52,REF-3470,Payroll report for Melissa Payne for date 2024-10-12.
PR1069,E1023,2024-10-04,112275.13,30262.78,82012.35,REF-3604,Payroll report for Jeffrey Watson for date 2024-10-04.
PR1070,E1023,2024-07-23,112275.13,26734.7,85540.43,REF-6263,Payroll report for Jeffrey Watson for date 2024-07-23.
PR1071,E1023,2024-04-12,112275.13,31901.95,80373.18,REF-8201,Payroll report for Jeffrey Watson for date 2024-04-12.
PR1072,E1024,2024-01-01,104828.72,22257.88,82570.84,REF-4378,Payroll report for Mary Mccarthy for date 2024-01-01.
PR1073,E1024,2024-05-26,104828.72,24632.83,80195.89,REF-6746,Payroll report for Mary Mccarthy for date 2024-05-26.
PR1074,E1024,2024-01-17,104828.72,20103.73,84724.99,REF-5901,Payroll report for Mary Mccarthy for date 2024-01-17.
PR1075,E1025,2024-07-06,81906.12,21808.92,60097.2,REF-9379,Payroll report for Brent Vang for date 2024-07-06.
PR1076,E1025,2024-04-19,81906.12,13243.5,68662.62,REF-1793,Payroll report for Brent Vang for date 2024-04-19.
PR1077,E1025,2024-08-06,81906.12,15753.31,66152.81,REF-5521,Payroll report for Brent Vang for date 2024-08-06.
PR1078,E1026,2024-09-04,115201.88,27826.15,87375.73,REF-0781,Payroll report for Dr. Jeffrey Horn for date 2024-09-04.
PR1079,E1026,2024-03-08,115201.88,25286.58,89915.3,REF-1734,Payroll report for Dr. Jeffrey Horn for date 2024-03-08.
PR1080,E1026,2024-05-16,115201.88,17048.42,98153.46,REF-2631,Payroll report for Dr. Jeffrey Horn for date 2024-05-16.
PR1081,E1027,2024-02-10,96427.45,16244.57,80182.88,REF-0567,Payroll report for Regina Martinez for date 2024-02-10.
PR1082,E1027,2024-03-08,96427.45,17607.92,78819.53,REF-3123,Payroll report for Regina Martinez for date 2024-03-08.
PR1083,E1027,2024-04-30,96427.45,21057.9,75369.55,REF-8283,Payroll report for Regina Martinez for date 2024-04-30.
PR1084,E1028,2024-03-21,71450.09,7387.53,64062.56,REF-4173,Payroll report for Kellie Gregory for date 2024-03-21.
PR1085,E1028,2024-07-31,71450.09,18391.58,53058.51,REF-5110,Payroll report for Kellie Gregory for date 2024-07-31.
PR1086,E1028,2024-08-27,71450.09,14203.87,57246.22,REF-2313,Payroll report for Kellie Gregory for date 2024-08-27.
PR1087,E1029,2024-05-31,106517.89,22178.16,84339.73,REF-9785,Payroll report for James Holmes for date 2024-05-31.
PR1088,E1029,2024-09-14,106517.89,31395.59,75122.3,REF-4138,Payroll report for James Holmes for date 2024-09-14.
PR1089,E1029,2024-11-01,106517.89,14605.92,91911.97,REF-6967,Payroll report for James Holmes for date 2024-11-01.
PR1090,E1030,2024-02-06,89060.6,15676.87,73383.73,REF-2268,Payroll report for Lisa Bowers for date 2024-02-06.
PR1091,E1030,2024-06-09,89060.6,21640.21,67420.39,REF-6354,Payroll report for Lisa Bowers for date 2024-06-09.
PR1092,E1030,2024-02-27,89060.6,10613.32,78447.28,REF-2297,Payroll report for Lisa Bowers for date 2024-02-27.
PR1093,E1031,2024-03-21,96189.14,13936.24,82252.9,REF-7254,Payroll report for Zachary Ward for date 2024-03-21.
PR1094,E1031,2024-10-07,96189.14,19508.62,76680.52,REF-2232,Payroll report for Zachary Ward for date 2024-10-07.
PR1095,E1031,2024-07-08,96189.14,24310.93,71878.21,REF-4397,Payroll report for Zachary Ward for date 2024-07-08.
PR1096,E1032,2024-08-28,80493.18,22831.17,57662.01,REF-0629,Payroll report for Jonathan Young for date 2024-08-28.
PR1097,E1032,2024-08-10,80493.18,21618.79,58874.39,REF-0321,Payroll report for Jonathan Young for date 2024-08-10.
PR1098,E1032,2024-07-09,80493.18,20198.69,60294.49,REF-5548,Payroll report for Jonathan Young for date 2024-07-09.
PR1099,E1033,2024-01-26,38078.76,5263.57,32815.19,REF-7833,Payroll report for Cassandra Young for date 2024-01-26.
PR1100,E1033,2024-10-21,38078.76,5411.78,32666.98,REF-1363,Payroll report for Cassandra Young for date 2024-10-21.
PR1101,E1033,2024-09-13,38078.76,11248.43,26830.33,REF-4225,Payroll report for Cassandra Young for date 2024-09-13.
PR1102,E1034,2024-02-01,99102.7,12312.75,86789.95,REF-5391,Payroll report for Jimmy Burns for date 2024-02-01.
PR1103,E1034,2024-02-16,99102.7,22641.11,76461.59,REF-5592,Payroll report for Jimmy Burns for date 2024-02-16.
PR1104,E1034,2024-07-11,99102.7,15562.6,83540.1,REF-6122,Payroll report for Jimmy Burns for date 2024-07-11.
PR1105,E1035,2024-05-13,65736.39,10909.71,54826.68,REF-4984,Payroll report for Mary Morrison for date 2024-05-13.
PR1106,E1035,2024-07-03,65736.39,13774.34,51962.05,REF-0048,Payroll report for Mary Morrison for date 2024-07-03.
PR1107,E1035,2024-06-09,65736.39,12207.06,53529.33,REF-6678,Payroll report for Mary Morrison for date 2024-06-09.
PR1108,E1036,2024-03-27,43399.47,9604.86,33794.61,REF-9622,Payroll report for Debra Anderson for date 2024-03-27.
PR1109,E1036,2024-02-14,43399.47,12267.76,31131.71,REF-9798,Payroll report for Debra Anderson for date 2024-02-14.
PR1110,E1036,2024-10-07,43399.47,8299.93,35099.54,REF-6224,Payroll report for Debra Anderson for date 2024-10-07.
PR1111,E1037,2024-01-09,115625.27,25369.72,90255.55,REF-0103,Payroll report for Micheal Prince for date 2024-01-09.
PR1112,E1037,2024-04-22,115625.27,31164.95,84460.32,REF-2863,Payroll report for Micheal Prince for date 2024-04-22.
PR1113,E1037,2024-10-08,115625.27,23471.28,92153.99,REF-1257,Payroll report for Micheal Prince for date 2024-10-08.
PR1114,E1038,2024-04-05,46177.81,5326.78,40851.03,REF-0665,Payroll report for Paul Mendez for date 2024-04-05.
PR1115,E1038,2024-09-21,46177.81,11459.38,34718.43,REF-4379,Payroll report for Paul Mendez for date 2024-09-21.
PR1116,E1038,2024-07-16,46177.81,9941.94,36235.87,REF-3493,Payroll report for Paul Mendez for date 2024-07-16.
PR1117,E1039,2024-02-29,49039.74,12067.08,36972.66,REF-6845,Payroll report for John Garcia for date 2024-02-29.
PR1118,E1039,2024-05-16,49039.74,13153.08,35886.66,REF-2869,Payroll report for John Garcia for date 2024-05-16.
PR1119,E1039,2024-07-01,49039.74,14320.12,34719.62,REF-0168,Payroll report for John Garcia for date 2024-07-01.
PR1120,E1040,2024-10-12,47542.78,7422.05,40120.73,REF-5255,Payroll report for Heather James for date 2024-10-12.
PR1121,E1040,2024-03-01,47542.78,13646.65,33896.13,REF-7656,Payroll report for Heather James for date 2024-03-01.
PR1122,E1040,2024-01-04,47542.78,5187.53,42355.25,REF-2257,Payroll report for Heather James for date 2024-01-04.
PR1123,E1041,2024-06-01,48955.69,10330.52,38625.17,REF-0029,Payroll report for Dr. Kelly Young DDS for date 2024-06-01.
PR1124,E1041,2024-01-31,48955.69,11808.24,37147.45,REF-0117,Payroll report for Dr. Kelly Young DDS for date 2024-01-31.
PR1125,E1041,2024-08-10,48955.69,14213.86,34741.83,REF-3418,Payroll report for Dr. Kelly Young DDS for date 2024-08-10.
PR1126,E1042,2024-08-02,88562.38,24536.96,64025.42,REF-0976,Payroll report for Jack Beasley for date 2024-08-02.
PR1127,E1042,2024-08-09,88562.38,19695.34,68867.04,REF-9847,Payroll report for Jack Beasley for date 2024-08-09.
PR1128,E1042,2024-04-26,88562.38,16686.82,71875.56,REF-3218,Payroll report for Jack Beasley for date 2024-04-26.
PR1129,E1043,2024-04-10,64019.23,11400.72,52618.51,REF-4339,Payroll report for Amanda Brown for date 2024-04-10.
PR1130,E1043,2024-05-31,64019.23,7474.02,56545.21,REF-2328,Payroll report for Amanda Brown for date 2024-05-31.
PR1131,E1043,2024-01-27,64019.23,18781.72,45237.51,REF-8125,Payroll report for Amanda Brown for date 2024-01-27.
PR1132,E1044,2024-10-24,87959.03,14933.53,73025.5,REF-3995,Payroll report for Krystal Howell for date 2024-10-24.
PR1133,E1044,2024-03-09,87959.03,10728.17,77230.86,REF-6575,Payroll report for Krystal Howell for date 2024-03-09.
PR1134,E1044,2024-10-24,87959.03,21720.11,66238.92,REF-7252,Payroll report for Krystal Howell for date 2024-10-24.
PR1135,E1045,2024-08-18,80428.45,21060.08,59368.37,REF-2934,Payroll report for Ashley Serrano for date 2024-08-18.
PR1136,E1045,2024-06-19,80428.45,15272.41,65156.04,REF-6669,Payroll report for Ashley Serrano for date 2024-06-19.
PR1137,E1045,2024-07-18,80428.45,14383.41,66045.04,REF-0981,Payroll report for Ashley Serrano for date 2024-07-18.
PR1138,E1046,2024-09-02,55492.59,7324.06,48168.53,REF-7359,Payroll report for Crystal Riley for date 2024-09-02.
PR1139,E1046,2024-06-01,55492.59,14484.83,41007.76,REF-5301,Payroll report for Crystal Riley for date 2024-06-01.
PR1140,E1046,2024-08-28,55492.59,14757.58,40735.01,REF-8366,Payroll report for Crystal Riley for date 2024-08-28.
PR1141,E1047,2024-04-14,84295.52,20337.32,63958.2,REF-6781,Payroll report for Carol Farrell for date 2024-04-14.
PR1142,E1047,2024-08-26,84295.52,23694.91,60600.61,REF-9089,Payroll report for Carol Farrell for date 2024-08-26.
PR1143,E1047,2024-05-14,84295.52,16243.52,68052.0,REF-4817,Payroll report for Carol Farrell for date 2024-05-14.
PR1144,E1048,2024-07-08,84719.56,18376.52,66343.04,REF-4040,Payroll report for Abigail Graves for date 2024-07-08.
PR1145,E1048,2024-08-01,84719.56,14870.56,69849.0,REF-3137,Payroll report for Abigail Graves for date 2024-08-01.
PR1146,E1048,2024-07-10,84719.56,10972.66,73746.9,REF-4936,Payroll report for Abigail Graves for date 2024-07-10.
PR1147,E1049,2024-09-26,55307.9,6625.01,48682.89,REF-7389,Payroll report for Sara West for date 2024-09-26.
PR1148,E1049,2024-10-14,55307.9,6402.1,48905.8,REF-1350,Payroll report for Sara West for date 2024-10-14.
PR1149,E1049,2024-05-01,55307.9,7304.38,48003.52,REF-8897,Payroll report for Sara West for date 2024-05-01.
